"total_set_num","year"
"713",2014
"665",2015
"615",2012
"596",2016
"593",2013
"503",2011
"447",2002
"444",2010
"415",2003
"402",2009
"371",2004
"349",2008
"339",2001
"330",2005
"327",2000
"325",1998
"321",2007
"300",1999
"296",2017
"283",2006
"209",1987
"192",1997
"144",1996
"139",1985
"128",1994
"128",1995
"123",1986
"115",1992
"115",1989
"111",1993
"107",1991
"92",1977
"89",1966
"88",1980
"85",1990
"82",1979
"79",1981
"76",1984
"76",1982
"73",1978
"69",1969
"68",1988
"68",1976
"67",1973
"57",1983
"45",1971
"42",1958
"40",1962
"39",1974
"38",1972
"31",1975
"29",1970
"28",1955
"25",1968
"21",1957
"21",1967
"18",1963
"17",1961
"14",1954
"12",1956
"11",1964
"10",1965
"7",1950
"4",1959
"4",1953
"3",1960
