"two_letter_country_code","continent_code"
"UM","OC"
"TC","NA"
"CV","AF"
"RW","AF"
"KN","NA"
"SH","AF"
"HR","EU"
"BE","EU"
"AZ","EU"
"SG","AS"
"KZ","EU"
"SC","AF"
"SZ","AF"
"FM","OC"
"CW","NA"
"GU","OC"
"SM","EU"
"IT","EU"
"CK","OC"
"GI","EU"
"TR","EU"
"LR","AF"
"MH","OC"
"NG","AF"
"IS","EU"
"GH","AF"
"ZM","AF"
"PT","EU"
"BQ","NA"
"BI","AF"
"SO","AF"
"IE","EU"
"JP","AS"
"KG","AS"
"WF","OC"
"IO","AS"
"RE","AF"
"GD","NA"
"KM","AF"
"MA","AF"
"VI","NA"
"BD","AS"
"KI","OC"
"ET","AF"
"LC","NA"
"MS","NA"
"ME","EU"
"IQ","AS"
"SN","AF"
"TD","AF"
"YT","AF"
"JO","AS"
"VU","OC"
"TF","AN"
"US","NA"
"VA","EU"
"CM","AF"
"GP","NA"
"IL","AS"
"EE","EU"
"CY","AS"
"MF","NA"
"FK","SA"
"OM","AS"
"AZ","AS"
"NU","OC"
"CR","NA"
"PN","OC"
"AF","AS"
"MD","EU"
"VC","NA"
"BO","SA"
"CU","NA"
"TL","AS"
"AL","EU"
"BB","NA"
"KE","AF"
"IR","AS"
"FR","EU"
"SR","SA"
"SL","AF"
"RU","AS"
"VG","NA"
"BY","EU"
"MK","EU"
"KZ","AS"
"CH","EU"
"NZ","OC"
"MC","EU"
"CX","AS"
"KS","EU"
"GS","AN"
"KY","NA"
"GM","AF"
"SV","NA"
"BA","EU"
"TH","AS"
"LS","AF"
"BM","NA"
"GF","SA"
"LB","AS"
"MZ","AF"
"PY","SA"
"IN","AS"
"BJ","AF"
"MW","AF"
"KH","AS"
"BN","AS"
"ZW","AF"
"XD","AS"
"PA","NA"
"SY","AS"
"BS","NA"
"TK","OC"
"PL","EU"
"GA","AF"
"QA","AS"
"NF","OC"
"EH","AF"
"AI","NA"
"CZ","EU"
"DO","NA"
"AG","NA"
"BV","AN"
"MU","AF"
"HN","NA"
"RS","EU"
"TW","AS"
"AS","OC"
"SS","AF"
"XS","AS"
"GT","NA"
"AD","EU"
"MO","AS"
"DE","EU"
"BL","NA"
"NI","NA"
"XE","AS"
"AX","EU"
"NL","EU"
"LA","AS"
"LI","EU"
"GL","NA"
"NO","EU"
"HT","NA"
"EC","SA"
"GE","AS"
"SE","EU"
"UM","NA"
"GN","AF"
"SI","EU"
"PR","NA"
"JE","EU"
"AW","NA"
"FJ","OC"
"FO","EU"
"XX","OC"
"NC","OC"
"CO","SA"
"PE","SA"
"PG","OC"
"LT","EU"
"BG","EU"
"MV","AS"
"CC","AS"
"MN","AS"
"SD","AF"
"LU","EU"
"PK","AS"
"BF","AF"
"BZ","NA"
"YE","AS"
"WS","OC"
"DZ","AF"
"AN","NA"
"LV","EU"
"JM","NA"
"AT","EU"
"PM","NA"
"MX","NA"
"MR","AF"
"TR","AS"
"SX","NA"
"ES","EU"
"MP","OC"
"MG","AF"
"ID","AS"
"CD","AF"
"MM","AS"
"UY","SA"
"DK","EU"
"RO","EU"
"NR","OC"
"DJ","AF"
"ST","AF"
"GE","EU"
"TZ","AF"
"GB","EU"
"CI","AF"
"UZ","AS"
"LK","AS"
"PW","OC"
"AQ","AN"
"AR","SA"
"VN","AS"
"AO","AF"
"MQ","NA"
"CY","EU"
"CA","NA"
"TO","OC"
"CG","AF"
"UG","AF"
"UA","EU"
"SA","AS"
"HU","EU"
"GG","EU"
"TG","AF"
"PH","AS"
"HK","AS"
"TV","OC"
"TJ","AS"
"ER","AF"
"SB","OC"
"MT","EU"
"BT","AS"
"ZA","AF"
"LY","AF"
"GW","AF"
"NP","AS"
"PF","OC"
"CF","AF"
"TT","NA"
"NE","AF"
"CN","AS"
"EG","AF"
"ML","AF"
"SK","EU"
"KR","AS"
"DM","NA"
"PS","AS"
"HM","AN"
"FI","EU"
"MY","AS"
"AU","OC"
"IM","EU"
"AE","AS"
"NA","AF"
"KW","AS"
"GQ","AF"
"RU","EU"
"GY","SA"
"BW","AF"
"VE","SA"
"TN","AF"
"AM","EU"
"BR","SA"
"TM","AS"
"SJ","EU"
"CL","SA"
"BH","AS"
"KP","AS"
"GR","EU"
"AM","AS"
